Unique Users,Total Hours,Total,Average
a151603712a,478.9,6585.5,193.69
a187131847a,3.3,,
a59945701a,510.8,,
a53875128a,1851.4,,
a234941318a,1,,
a140954425a,14,,
a26122540a,192.3,,
a176410694a,10.1,,
a197278511a,1.5,,
a150128162a,43,,
a197455089a,4.4,,
a63024728a,43,,
a297811211a,47.7,,
a76933274a,2,,
a218323237a,27.5,,
a302186258a,5.2,,
a126340495a,2799.9,,
a256193015a,1,,
a194895541a,3.5,,
a30007387a,2,,
a170625356a,8.4,,
a159538705a,1,,
a167362888a,136,,
a208649703a,129,,
a299889828a,2,,
a225987202a,4.8,,
a195071563a,7.2,,
a254906420a,2.2,,
a247160953a,2.9,,
a308653033a,2.6,,
a144138643a,6.2,,
a197902002a,1,,
a97298878a,239.7,,